Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:20:54Z,2.12%,7.336MiB,31.29GiB,0.02%,956B,37.1kB,0B,0B,1
2025-06-27T14:21:07Z,2.61%,7.477MiB,31.29GiB,0.02%,39.8kB,226kB,0B,20.5kB,1
2025-06-27T14:21:19Z,3.81%,7.824MiB,31.29GiB,0.02%,96.3kB,405kB,0B,36.9kB,1
2025-06-27T14:21:32Z,2.64%,7.828MiB,31.29GiB,0.02%,96.8kB,509kB,0B,77.8kB,1
2025-06-27T14:21:44Z,1.77%,7.828MiB,31.29GiB,0.02%,100kB,620kB,0B,77.8kB,1
2025-06-27T14:21:57Z,1.61%,7.586MiB,31.29GiB,0.02%,100kB,731kB,0B,86kB,1
2025-06-27T14:22:09Z,1.74%,7.582MiB,31.29GiB,0.02%,100kB,841kB,0B,102kB,1
2025-06-27T14:22:22Z,5.26%,7.789MiB,31.29GiB,0.02%,210kB,1.07MB,0B,111kB,1
2025-06-27T14:22:34Z,3.52%,7.93MiB,31.29GiB,0.02%,287kB,1.28MB,0B,143kB,1
2025-06-27T14:22:48Z,1.80%,7.934MiB,31.29GiB,0.02%,293kB,1.4MB,0B,176kB,1
2025-06-27T14:23:00Z,1.80%,7.961MiB,31.29GiB,0.02%,308kB,1.52MB,0B,184kB,1
2025-06-27T14:23:13Z,2.51%,7.961MiB,31.29GiB,0.02%,308kB,1.63MB,0B,188kB,1
2025-06-27T14:23:25Z,2.18%,7.961MiB,31.29GiB,0.02%,308kB,1.74MB,0B,197kB,1
